Category_and_Program,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Mandatory Programs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human resource programs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Education, training, employment, and social services",2.4,2.8,2.4,2.5,3.5,6.3,7.1,6.4,8.1,8.6,14.9,12.6,11.6,13.9,13.8,3.5,14.0,16.0,17.6,17.6,20.0,16.5,13.2,15.1,13.8,13.9,12.2,12.4,14.5,15.7,17.4,14.1,16.7,9.5,17.6,14.1,13.1,11.1,7.9,6.8,4.3,10.0,13.7,14.9,20.5,40.3,12.4,9.3,-21.8,-5.7,-14.9,-5.0,-14.8,-1.9,39.2,9.2,13.9,21.5,26.1,29.5
Health:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicaid,0.6,0.9,1.1,1.5,4.1,6.0,9.0,10.9,12.5,14.7,19.4,18.7,21.8,23.3,27.4,6.9,29.3,29.7,31.9,32.4,35.7,34.7,36.2,36.9,40.2,43.2,46.3,49.5,54.0,61.7,75.8,95.5,104.1,110.5,117.5,118.9,121.1,127.0,133.9,142.8,153.2,172.6,184.3,197.7,198.2,191.2,197.5,201.5,250.9,268.5,265.2,236.6,247.2,276.6,301.7,312.0,317.1,325.6,336.2,347.1
Refundable Premium Tax Credit and Cost Sharing Reductions,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,12.0,25.9,39.8,47.8,64.3,73.3,79.9
Childrens Health Insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,0.7,1.5,4.4,4.3,5.0,5.2,5.6,5.8,6.2,6.9,7.5,7.8,8.3,8.6,8.8,8.5,9.6,12.9,13.8,14.5,14.9,5.0
Other,*,*,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.8,0.6,0.9,1.5,0.4,1.5,1.5,1.5,1.7,2.0,2.1,2.1,2.6,2.2,1.1,3.2,2.9,0.4,2.1,3.2,5.1,5.3,6.0,5.6,6.2,6.8,6.7,6.8,6.5,7.0,6.8,11.6,12.9,14.4,16.2,18.0,18.2,19.3,22.7,25.2,25.3,24.6,27.4,44.8,42.5,42.5,41.0,42.1,40.4
Total health,0.6,0.9,1.2,1.6,4.3,6.1,9.1,11.1,12.6,15.0,19.7,19.4,22.5,24.2,28.8,7.3,30.8,31.3,33.3,34.2,37.7,36.9,38.3,39.5,42.4,44.4,49.5,52.5,54.4,63.7,79.0,100.6,109.3,116.5,123.1,125.1,127.9,133.7,141.4,150.8,164.6,183.7,200.9,215.8,218.2,213.2,221.7,226.6,277.7,298.9,298.7,270.5,280.6,324.6,382.0,407.1,421.2,445.4,466.5,472.4
Medicare,..........,..........,..........,..........,..........,12.2,21.3,25.0,25.9,26.5,29.0,30.4,33.0,40.7,47.2,12.3,54.4,59.9,64.6,70.9,79.2,89.0,96.2,101.2,112.0,116.3,121.4,121.9,124.3,138.3,142.3,159.2,171.9,186.3,202.8,217.6,233.7,234.4,229.0,231.7,250.4,263.8,279.6,295.5,319.7,342.7,383.7,385.2,425.1,438.9,462.0,438.9,456.8,462.6,478.6,516.4,505.8,495.6,533.6,557.2
