Fiscal_Year,Total_Government_Expenditures,Total_Federal_Government_Outlays,On-Budget_Federal_Government_Outlays,Off-Budget_Federal_Government_Outlays,Addendum_Federal_Grants_NIPA_Basis,State_and_Local_Government_Expenditures_From_Own_Sources_NIPA_Basis_1
1948,45.2,29.8,29.4,0.4,1.1,15.4
1949,56.5,38.8,38.4,0.4,1.6,17.6
1950,62.9,42.6,42.0,0.5,1.9,20.4
1951,67.3,45.5,44.2,1.3,1.9,21.8
1952,91.1,67.7,66.0,1.7,1.9,23.4
1953,100.8,76.1,73.8,2.3,2.2,24.7
1954,97.9,70.9,67.9,2.9,2.2,27.0
1955,98.8,68.4,64.5,4.0,2.3,30.4
1956,103.6,70.6,65.7,5.0,2.3,32.9
1957,112.8,76.6,70.6,6.0,2.6,36.2
1958,122.4,82.4,74.9,7.5,2.9,40.0
1959,135.6,92.1,83.1,9.0,3.5,43.5
1960,137.4,92.2,81.3,10.9,3.8,45.2
1961,147.0,97.7,86.0,11.7,4.0,49.3
1962,159.8,106.8,93.3,13.5,4.5,53.0
1963,167.6,111.3,96.4,15.0,4.9,56.3
1964,179.7,118.5,102.8,15.7,5.7,61.2
1965,184.1,118.2,101.7,16.5,6.3,65.9
1966,206.8,134.5,114.8,19.7,7.9,72.2
1967,236.6,157.5,137.0,20.4,9.9,79.1
1968,266.2,178.1,155.8,22.3,11.9,88.0
1969,283.3,183.6,158.4,25.2,12.2,99.6
1970,302.3,195.6,168.0,27.6,16.1,106.6
1971,330.2,210.2,177.3,32.8,20.4,120.0
1972,360.8,230.7,193.5,37.2,25.8,130.1
1973,382.9,245.7,200.0,45.7,33.0,137.2
1974,422.7,269.4,216.5,52.9,33.4,153.3
1975,507.6,332.3,270.8,61.6,38.9,175.2
1976,563.2,371.8,301.1,70.7,46.2,191.4
TQ,147.3,96.0,77.3,18.7,12.2,51.3
1977,611.9,409.2,328.7,80.5,53.4,202.7
1978,675.9,458.7,369.6,89.2,61.6,217.2
1979,743.9,504.0,404.9,99.1,63.6,239.9
1980,857.8,590.9,477.0,113.9,68.3,266.9
1981,967.8,678.2,543.0,135.3,70.9,289.5
1982,"1,061.5",745.7,594.9,150.9,65.7,315.8
1983,"1,149.8",808.4,660.9,147.4,67.7,341.4
1984,"1,219.1",851.8,685.6,166.2,70.4,367.3
1985,"1,350.1",946.3,769.4,176.9,75.2,403.8
1986,"1,431.0",990.4,806.8,183.5,82.4,440.7
1987,"1,487.5","1,004.0",809.2,194.8,79.0,483.5
1988,"1,582.5","1,064.4",860.0,204.4,83.5,518.0
1989,"1,710.4","1,143.7",932.8,210.9,90.1,566.6
1990,"1,876.2","1,253.0","1,027.9",225.1,100.8,623.2
1991,"2,001.8","1,324.2","1,082.5",241.7,117.9,677.6
1992,"2,116.4","1,381.5","1,129.2",252.3,138.2,734.9
1993,"2,176.0","1,409.4","1,142.8",266.6,150.1,766.6
1994,"2,257.0","1,461.8","1,182.4",279.4,164.9,795.3
1995,"2,360.8","1,515.7","1,227.1",288.7,175.1,845.1
1996,"2,430.1","1,560.5","1,259.6",300.9,179.1,869.7
1997,"2,512.9","1,601.1","1,290.5",310.6,183.9,911.7
1998,"2,594.6","1,652.5","1,335.9",316.6,198.5,942.1
1999,"2,711.6","1,701.8","1,381.1",320.8,214.2,"1,009.8"
2000,"2,870.0","1,789.0","1,458.2",330.8,229.6,"1,081.1"
2001,"3,043.6","1,862.8","1,516.0",346.8,254.0,"1,180.8"
2002,"3,290.2","2,010.9","1,655.2",355.7,279.9,"1,279.3"
2003,"3,507.4","2,159.9","1,796.9",363.0,312.4,"1,347.5"
2004,"3,701.6","2,292.8","1,913.3",379.5,330.7,"1,408.8"
2005,"3,951.6","2,472.0","2,069.7",402.2,341.8,"1,479.7"
2006,"4,204.9","2,655.1","2,233.0",422.1,343.3,"1,549.9"
2007,"4,378.6","2,728.7","2,275.0",453.6,352.4,"1,649.9"
2008,"4,743.1","2,982.5","2,507.8",474.8,365.8,"1,760.5"
2009,"5,338.0","3,517.7","3,000.7",517.0,434.4,"1,820.3"
2010,"5,274.2","3,457.1","2,902.4",554.7,494.6,"1,817.1"
2011,"5,427.3","3,603.1","3,104.5",498.6,492.3,"1,824.2"
2012,"5,420.4","3,537.0","3,029.4",507.6,442.0,"1,883.5"
2013,"5,378.4","3,454.6","2,820.8",633.8,450.8,"1,923.8"
2014,"5,463.4","3,506.1","2,800.0",706.1,485.6,"1,957.3"
