Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Legislative Branch,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Judicial Branch,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Department of Agriculture,4.9,4.4,4.7,5.3,6.7,5.9,6.4,7.1,8.0,5.1,6.0,5.8,5.1,5.1,4.7,4.3,4.3,4.5,4.6,4.3,3.8,3.7,3.7,3.4,3.8,4.1,3.7,3.4,3.5,3.9,3.7,3.5,3.2,2.8,3.1,3.8,4.0,4.2,4.5,4.4,4.0,3.8,3.8,3.5,3.3,3.1
Department of Commerce,0.4,0.4,1.7,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.5,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.6,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.3,0.3
Department of Defense--Military Programs,22.7,23.7,23.0,22.7,22.1,21.0,23.8,26.2,27.5,28.0,27.9,27.8,27.0,26.0,24.3,22.8,19.9,19.2,18.1,16.4,16.6,16.1,15.7,15.3,15.7,15.9,16.3,16.5,19.4,19.6,18.7,19.2,21.1,20.3,16.4,20.0,19.7,18.3,16.8,16.5,15.0,14.6,13.2,12.6,12.2,11.7
Department of Education,2.2,3.3,2.3,2.3,2.5,2.3,2.3,1.9,1.8,1.7,1.8,1.8,1.9,1.8,1.9,1.9,2.0,2.0,2.1,1.8,2.1,1.8,2.0,2.1,1.9,1.7,2.0,2.7,2.8,2.8,2.9,3.6,2.4,2.0,3.2,1.8,1.2,1.6,1.1,1.5,2.6,1.8,1.9,2.0,2.0,2.0
Department of Energy,1.2,1.4,1.5,2.1,1.8,1.6,1.5,1.5,1.4,1.2,1.2,1.0,1.0,1.0,1.0,1.1,1.2,1.2,1.2,1.1,1.0,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,1.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6
Department of Health and Human Services,9.6,10.5,10.0,10.3,10.7,10.4,10.9,10.7,10.5,11.2,11.1,12.2,12.9,13.0,13.0,14.4,14.5,17.1,17.5,20.1,19.6,20.1,21.5,21.2,20.5,21.5,22.2,22.9,22.7,23.1,22.9,24.6,23.0,21.7,20.9,25.5,25.3,24.5,25.1,26.6,27.6,26.9,26.4,25.3,25.8,25.9
Department of Homeland Security,0.6,0.6,0.6,0.7,0.7,0.7,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.8,0.6,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.8,1.5,1.4,1.3,3.9,1.2,1.4,1.5,1.1,1.3,1.2,1.3,1.8,1.2,1.2,1.2,1.0,0.9,0.9,0.9
Department of Housing and Urban Development,6.9,0.4,7.2,7.5,5.6,5.4,4.6,2.6,1.9,2.0,3.1,1.6,1.4,1.4,1.2,1.3,2.0,1.7,1.8,1.7,1.3,1.3,1.0,1.2,1.5,1.3,1.6,1.6,1.5,1.5,1.4,1.9,1.2,1.5,1.5,1.3,1.4,1.1,2.0,1.2,1.2,1.2,1.2,1.1,1.1,1.0
