Fiscal_Year,Total_Government,Defense_and_International,Net_Interest,Social_Security_and_Medicare_Federal_Payments_For_Individuals,Other_Federal_Payments_For_Individuals,Other_Federal,State_and_Local_From_Own_Sources_Except_Net_Interest
1948,17.2,5.2,1.8,0.2,3.2,1.1,5.7
1949,20.4,6.9,1.8,0.2,3.4,1.9,6.2
1950,22.6,6.6,1.9,0.3,4.6,2.1,7.1
1951,20.6,8.3,1.6,0.5,2.7,1.0,6.5
1952,25.5,13.6,1.5,0.6,2.5,0.9,6.4
1953,26.3,14.4,1.6,0.7,2.2,1.3,6.2
1954,25.2,13.1,1.5,0.8,2.3,0.8,6.7
1955,24.3,11.0,1.4,1.1,2.4,1.1,7.2
1956,23.6,10.2,1.4,1.2,2.2,1.2,7.2
1957,24.3,10.5,1.4,1.4,2.3,1.2,7.5
1958,25.8,10.6,1.5,1.7,2.7,1.2,8.1
1959,26.8,10.3,1.5,1.9,2.6,2.2,8.3
1960,25.7,9.6,1.7,2.1,2.4,1.8,8.1
1961,26.9,9.6,1.6,2.2,2.8,1.9,8.6
1962,27.2,9.9,1.6,2.4,2.6,2.1,8.6
1963,27.1,9.5,1.6,2.5,2.6,2.1,8.7
1964,27.1,9.0,1.6,2.5,2.5,2.7,8.8
1965,25.9,7.9,1.6,2.4,2.3,2.9,8.9
1966,26.4,8.1,1.6,2.6,2.2,3.0,8.9
1967,28.2,9.2,1.6,2.9,2.3,3.1,9.1
1968,29.6,9.7,1.6,3.2,2.5,3.3,9.4
1969,28.8,8.9,1.6,3.4,2.5,2.6,9.8
1970,28.8,8.2,1.7,3.5,2.8,2.8,9.9
1971,29.5,7.4,1.7,3.8,3.4,2.8,10.4
1972,29.6,6.9,1.7,3.9,3.7,3.1,10.2
1973,28.2,6.0,1.7,4.2,3.5,3.1,9.7
1974,28.4,5.7,1.8,4.4,3.7,2.8,10.0
1975,31.5,5.8,1.8,4.8,4.8,3.8,10.5
1976,31.5,5.4,1.9,5.0,5.1,3.8,10.3
TQ,31.2,5.2,1.9,5.1,4.6,3.9,10.4
1977,30.2,5.1,1.9,5.2,4.6,3.8,9.6
1978,29.7,4.9,1.9,5.1,4.2,4.3,9.2
1979,28.9,4.8,1.9,5.1,4.1,3.9,9.1
1980,30.7,5.2,2.0,5.4,4.6,4.0,9.4
1981,30.8,5.4,2.2,5.7,4.8,3.5,9.2
1982,32.0,6.0,2.6,6.1,4.8,3.1,9.5
1983,32.5,6.3,2.6,6.3,5.0,2.7,9.6
1984,30.8,6.2,2.8,6.0,4.5,2.1,9.3
1985,31.6,6.3,3.0,6.0,4.6,2.2,9.5
1986,31.5,6.3,3.0,6.0,4.1,2.4,9.7
1987,31.1,6.1,2.9,6.0,4.1,1.9,10.1
1988,30.7,5.8,2.9,5.9,4.0,2.0,10.1
1989,30.7,5.6,3.0,5.8,4.0,2.1,10.2
1990,31.7,5.3,3.1,6.0,4.0,2.8,10.6
1991,32.8,4.7,3.2,6.2,4.6,3.0,11.0
1992,32.9,4.9,3.3,6.4,5.0,2.0,11.2
1993,32.0,4.5,3.2,6.5,5.2,1.6,11.0
1994,31.4,4.1,3.0,6.6,5.0,1.7,10.9
1995,31.1,3.8,3.2,6.7,5.0,1.4,11.0
1996,30.5,3.5,3.1,6.7,4.8,1.5,10.8
1997,29.6,3.4,2.9,6.7,4.7,1.3,10.7
1998,29.0,3.1,2.6,6.5,4.5,1.5,10.6
1999,28.5,3.0,2.2,6.3,4.4,1.8,10.8
2000,28.3,3.1,1.9,6.1,4.4,1.8,11.0
2001,28.8,3.0,1.7,6.3,4.5,1.8,11.4
2002,30.2,3.4,1.6,6.5,5.1,1.9,11.7
2003,31.0,3.8,1.7,6.6,5.5,1.9,11.5
2004,30.6,4.0,1.7,6.5,5.2,1.9,11.3
2005,30.7,4.1,1.7,6.6,5.1,1.9,11.2
2006,30.7,4.0,1.9,6.7,5.0,1.9,11.1
2007,30.6,4.0,1.8,7.0,4.8,1.5,11.4
2008,32.2,4.4,1.9,7.2,5.3,1.7,11.8
2009,37.0,4.8,2.0,8.1,6.6,3.6,11.9
2010,35.6,5.0,2.2,8.2,7.4,1.5,11.4
2011,35.3,4.9,2.3,8.3,7.1,1.7,11.1
2012,33.8,4.5,2.3,8.1,6.3,1.7,10.9
2013,32.4,4.1,2.2,8.3,6.2,0.9,10.8
2014,31.7,3.8,2.1,8.3,6.3,0.7,10.6
